model_name,modify_parameters_count,time_costs,storage_costs
lenet1,1,13.560056686401367,100.07086849212646
lenet1,2,13.452529907226562,100.07114791870117
lenet1,3,14.503717422485352,100.07095336914062
lenet1,4,13.189077377319336,100.07109355926514
lenet1,5,13.335466384887695,100.07090282440186
lenet1,6,14.713287353515625,100.07107830047607
lenet5,1,20.737886428833008,100.0708875656128
lenet5,2,21.80790901184082,100.07113265991211
lenet5,3,20.8587646484375,100.07093524932861
lenet5,4,18.225669860839844,100.07100772857666
lenet5,5,20.99776268005371,100.07081413269043
lenet5,6,21.794795989990234,100.0708179473877
alexnet,1,32.54103660583496,100.07062149047852
alexnet,2,32.6688289642334,100.07062530517578
alexnet,3,31.342744827270508,100.07042407989502
alexnet,4,33.29348564147949,100.07042598724365
alexnet,5,31.330347061157227,100.07022190093994
alexnet,6,35.2015495300293,100.07022380828857
vgg16,1,63.65489959716797,100.07002830505371
vgg16,2,58.72774124145508,100.07003116607666
vgg16,3,60.549259185791016,100.06983470916748
vgg16,4,61.68031692504883,100.06983852386475
vgg16,5,58.24708938598633,100.06963920593262
vgg16,6,62.569618225097656,100.06964302062988
resnet18,1,195.58286666870117,100.06943988800049
resnet18,2,209.2745304107666,100.06925392150879
resnet18,3,193.82071495056152,100.06925964355469
resnet18,4,184.95821952819824,100.06926250457764
resnet18,5,202.89158821105957,100.06926441192627
resnet18,6,195.1737403869629,100.06960868835449
